id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
2379,F,1.5125,1.1875,0.4125,31.6096925,13.664459,6.520385,8.6465975,14.0
2380,I,1.3375,1.0,0.4125,24.39474475,7.7961125,4.479221,8.0796075,18.0
2381,M,1.275,1.0125,0.3375,22.509503,10.6877615,5.00368675,5.00368675,8.0
2382,M,1.2,0.95,0.35,16.782904,6.4353365,3.67126025,5.2446575,10.0
2383,F,1.45,1.125,0.3625,29.07241225,10.149121,6.64795775,8.50485,13.0
2384,M,1.6,1.2625,0.4,38.55532,17.5483405,8.6465975,10.3475675,10.0
2385,I,1.4,1.075,0.4125,23.416687,10.02154825,4.83358975,6.633783,9.0
2386,M,1.525,1.225,0.475,34.23202125,15.3370795,5.7549485,9.7805775,15.0
2387,F,1.5,1.2,0.4375,30.957654,10.81533425,6.81805475,10.489315,12.0
2388,M,1.5625,1.225,0.425,33.40988575,14.52911875,6.4920355,10.6310625,16.0
2389,F,1.4875,1.1875,0.375,29.97959625,11.66581925,5.57067675,9.07184,14.0
2390,F,1.325,1.0375,0.35,19.57532975,8.51902475,4.86193925,5.953395,13.0
2391,I,1.3625,1.075,0.3125,23.51591025,11.4248485,4.15320175,6.23689,9.0
2392,M,1.6,1.25,0.425,37.0527965,18.5122235,8.278054,8.9300925,9.0
2393,F,1.2875,1.0625,0.3875,20.638436,8.80251975,4.7910655,7.2291225,9.0
2394,I,1.4,1.1375,0.4,25.41532675,11.41067375,4.86193925,9.07184,14.0
2395,I,1.2375,0.9375,0.3125,13.62193475,5.2446575,3.118445,4.1106775,8.0
2396,M,1.7,1.375,0.4875,48.26502375,16.612807,10.602713,13.04077,11.0
2397,M,1.425,1.15,0.375,27.62658775,12.91319725,6.690482,8.6465975,10.0
2398,I,0.6875,0.5,0.2,2.8066005,1.0489315,0.56699,0.850485,6.0
2399,I,1.0,0.75,0.2,8.12213175,3.458639,1.82854275,2.4097075,8.0
2400,M,1.55,1.2,0.4625,36.627554,16.0174675,8.43397625,11.056305,15.0
2401,M,1.1875,0.9,0.3125,14.8267885,5.28718175,3.64291075,4.9611625,9.0
2402,I,0.7,0.5,0.1875,3.67126025,1.54504775,0.56699,0.850485,5.0
2403,I,0.95,0.7,0.225,6.7188315,3.061746,1.11980525,2.324659,6.0
2404,I,0.4375,0.325,0.1,0.89300925,0.29766975,0.18427175,0.35436875,4.0
2405,F,1.45,1.1875,0.4375,28.81726675,11.5949455,6.30776375,7.5126175,10.0
2406,M,1.575,1.2625,0.4125,35.50774875,15.06775925,8.9300925,9.4970825,9.0
2407,F,1.5625,1.275,0.4625,37.1094955,14.5432935,7.64019025,10.9145575,10.0
2408,I,1.0375,0.8125,0.2625,9.07184,4.43669675,1.80019325,2.9766975,6.0
2409,M,1.2125,0.8875,0.3125,14.8834875,4.6776675,3.3168915,4.9611625,17.0
2410,F,1.7,1.2875,0.4875,51.27007075,23.6151335,11.49572225,11.623295,9.0
2411,I,0.45,0.3125,0.0875,0.41106775,0.21262125,0.26932025,0.1417475,4.0
2412,I,1.3125,1.0125,0.3625,18.370476,7.6260155,3.7704835,5.5281525,8.0
2413,M,1.6875,1.2875,0.45,42.410852,21.78659075,8.901743,11.1980525,10.0
2414,M,1.55,1.2125,0.4375,35.096681,14.10387625,7.01650125,9.63883,13.0
2415,F,1.2625,1.05,0.35,19.85882475,6.67630725,4.06815325,7.030676,11.0
2416,M,1.7,1.4,0.45,43.431434,19.6462035,10.546014,11.90679,11.0
2417,M,1.75,1.35,0.5,53.580555,26.932025,13.60776,14.3164975,11.0
2418,F,1.425,1.1,0.3625,24.777463,10.47514025,6.22271525,6.80388,12.0
2419,I,0.7,0.575,0.225,3.6003865,1.4458245,0.9355335,1.13398,6.0
2420,M,1.525,1.225,0.5,32.36095425,12.0485375,6.3786375,13.1825175,20.0
2421,F,1.2,0.875,0.3125,14.118051,6.73300625,3.16096925,3.96893,8.0
2422,I,0.925,0.6875,0.225,6.1518415,2.721552,1.0489315,2.26796,7.0
2423,M,1.5125,1.175,0.4125,31.127751,11.12717875,6.747181,8.3631025,18.0
2424,I,1.175,0.9375,0.35,14.9968855,6.27941425,3.24601775,3.96893,8.0
2425,M,1.4625,1.15,0.375,26.761928,10.6877615,5.046211,7.7961125,11.0
2426,M,1.4,1.1,0.3625,24.8058125,9.865626,5.216308,7.654365,14.0
2427,I,0.9125,0.75,0.2375,6.30776375,2.6365035,1.3891255,2.1262125,8.0
2428,I,1.075,0.8375,0.275,10.64523725,4.32329875,1.7860185,3.5436875,8.0
2429,F,1.4125,1.125,0.4,25.92561775,12.65805175,5.68407475,7.72523875,10.0
2430,M,1.525,1.25,0.4125,33.5941575,15.46465225,6.0384435,10.0640725,12.0
2431,F,1.4875,1.1375,0.4625,31.18445,15.5071765,6.27941425,9.922325,10.0
2432,F,1.725,1.275,0.425,43.6298805,19.1359125,8.57572375,12.190285,15.0
2433,M,1.5875,1.2,0.475,41.4753185,14.4865945,8.5898985,11.90679,19.0
2434,I,0.8375,0.6125,0.225,5.59902625,2.721552,1.14815475,1.360776,7.0
2435,F,1.4375,1.125,0.4,25.51455,11.8784405,5.386405,6.520385,9.0
2436,F,1.625,1.275,0.4375,36.457457,18.9091165,6.87475375,9.865626,10.0
2437,I,1.3125,0.975,0.3625,17.53416575,6.84640425,4.2807745,5.386405,9.0
2438,I,1.3125,0.975,0.3125,22.58037675,10.149121,5.273007,4.53592,8.0
2439,M,1.2,0.9,0.3,14.92601175,6.066793,3.6003865,3.8271825,8.0
2440,M,1.6125,1.3,0.5625,44.395317,19.674553,10.4609655,12.246984,10.0
2441,M,1.525,1.1875,0.3875,29.0582375,13.891255,6.22271525,8.80251975,11.0
2442,M,1.6375,1.2875,0.5125,41.71628925,19.050864,9.241937,10.61688775,12.0
2443,I,1.1875,0.9375,0.2875,15.40795325,6.066793,3.27436725,4.6776675,8.0
2444,F,1.425,1.125,0.4375,25.51455,8.29222875,6.10931725,8.0796075,16.0
2445,F,1.4125,1.075,0.3875,20.921931,9.48290775,4.989512,6.23689,9.0
2446,I,1.125,0.825,0.25,10.33339275,4.1673765,2.42388225,2.9766975,8.0
2447,M,1.45,1.1625,0.375,23.79940525,11.056305,4.989512,7.35669525,10.0
2448,F,1.225,0.9375,0.2625,15.03940975,6.05261825,3.6003865,4.819415,7.0
2449,F,1.4,1.1,0.375,29.256684,14.7133905,6.4353365,8.6465975,10.0
2450,I,1.1125,0.825,0.275,12.34620725,5.68407475,2.608154,3.40194,9.0
2451,F,1.525,1.1875,0.3875,31.18445,14.7133905,7.41339425,7.767763,10.0
2452,F,1.4125,1.1125,0.4125,28.81726675,11.793392,5.10291,10.77281,18.0
2453,F,1.7375,1.4625,0.5,49.45570275,21.262125,9.241937,13.60776,12.0
2454,I,0.9,0.7125,0.2125,6.39281225,2.59397925,1.48834875,1.871067,7.0
2455,M,1.3,1.0,0.3375,17.6050395,7.10154975,4.23825025,5.5281525,9.0
2456,M,1.525,1.2125,0.4125,30.9860035,14.81261375,5.20213325,8.788345,8.0
2457,I,1.0625,0.825,0.225,9.19941275,4.819415,1.37495075,2.9766975,8.0
2458,M,1.5125,1.225,0.475,32.375129,11.8217415,7.314171,10.3475675,14.0
2459,I,1.0375,0.7875,0.225,8.06543275,3.5436875,2.2963095,2.1262125,7.0
2460,F,1.475,1.15,0.375,28.67551925,14.10387625,6.2652395,7.7961125,12.0
2461,I,0.5375,0.375,0.125,1.09145575,0.32601925,0.1417475,0.283495,4.0
2462,M,1.775,1.3875,0.4125,45.91201525,15.422128,10.8011595,13.04077,9.0
2463,I,1.0,0.75,0.25,8.40562675,3.515338,1.7293195,2.45223175,8.0
2464,I,1.175,0.9375,0.3,14.16057525,5.6415505,2.79242575,4.32329875,7.0
2465,I,0.875,0.625,0.2125,5.31553125,2.2963095,1.37495075,1.644271,6.0
2466,I,1.25,1.0,0.3125,16.68368075,7.66853975,3.86970675,4.6776675,7.0
2467,M,1.5625,1.2,0.475,36.85435,16.54193325,8.9867915,10.0640725,11.0
2468,I,1.05,0.8,0.225,8.17883075,3.55786225,1.80019325,2.53728025,6.0
2469,I,0.6125,0.425,0.15,1.65844575,0.58116475,0.396893,0.56699,6.0
2470,I,0.5875,0.425,0.1375,1.45999925,0.60951425,0.396893,0.56699,6.0
2471,M,1.5625,1.2375,0.5,38.00250475,13.8062065,7.27164675,13.60776,13.0
2472,F,1.5875,1.25,0.45,34.9549335,13.9196045,7.47009325,10.489315,14.0
2473,M,1.175,0.9375,0.3125,24.8625115,12.26115875,4.932813,5.2446575,15.0
2474,M,1.525,1.25,0.45,35.62114675,14.35902175,8.391452,9.02931575,11.0
2475,I,1.3625,1.0375,0.375,22.5378525,8.6465975,5.8116475,6.3786375,10.0
2476,M,0.875,0.625,0.1875,4.80524025,1.97029025,1.1623295,1.40330025,7.0
2477,F,1.5625,1.175,0.425,30.0221205,14.21727425,6.8322295,7.7961125,12.0
2478,M,1.3625,1.075,0.375,26.138239,10.21999475,4.89028875,8.6465975,19.0
2479,M,1.4,1.1125,0.3375,26.7902775,12.303683,5.06038575,8.0796075,9.0
2480,F,1.2875,1.05,0.325,21.1203775,7.78193775,4.60679375,6.3786375,14.0
2481,I,0.9875,0.75,0.225,8.901743,3.9405805,1.77184375,2.26796,9.0
2482,F,1.475,1.175,0.375,28.10852925,14.4865945,5.499803,6.6621325,8.0
2483,I,0.875,0.65,0.2125,5.59902625,2.2963095,1.37495075,1.984465,6.0
2484,I,1.15,0.9125,0.2625,14.8834875,5.0178615,3.345241,3.35941575,7.0
2485,I,1.325,1.05,0.3625,17.0380495,7.314171,4.01145425,5.08873525,10.0
2486,M,1.225,1.0125,0.35,13.05494475,6.123492,3.118445,5.10291,10.0
2487,I,1.0875,0.8625,0.275,9.808927,4.7910655,2.5798045,3.685435,6.0
2488,M,1.5875,1.2125,0.425,32.0065855,14.50076925,6.690482,10.20582,9.0
2489,I,1.0,0.875,0.2625,12.68640125,5.9250455,2.9199985,3.685435,8.0
2490,I,1.25,0.95,0.3,18.200379,9.1001895,3.64291075,4.9611625,8.0
2491,M,1.5375,1.1875,0.425,33.43823525,13.79203175,8.3064035,10.0640725,10.0
2492,F,1.4125,1.0875,0.3375,23.48756075,11.09882925,4.60679375,6.520385,8.0
2493,F,1.75,1.3125,0.5375,49.384829,16.82542825,11.0279555,14.628342,12.0
2494,F,1.6,1.2875,0.4125,35.16755475,14.5999925,8.3631025,8.9867915,9.0
2495,I,1.0125,0.8,0.275,8.0229085,3.33106625,2.4097075,2.551455,7.0
2496,F,1.4875,1.175,0.4375,27.76833525,12.3320325,4.8477645,7.01650125,11.0
2497,M,1.4375,1.175,0.4125,28.8314415,11.283101,5.499803,9.08601475,10.0
2498,M,1.4875,1.1375,0.3125,24.38057,11.04213025,4.86193925,6.9456275,9.0
2499,F,1.425,1.15,0.3875,26.2799865,10.8011595,5.1879585,7.2291225,11.0
2500,F,1.275,1.0125,0.4,23.700182,7.087375,3.9405805,7.93786,15.0
2501,M,1.625,1.2625,0.4375,41.7588135,19.5895045,8.57572375,11.453198,12.0
2502,I,1.175,0.8875,0.3125,13.8062065,5.9817445,3.118445,3.5436875,7.0
2503,M,1.6875,1.3625,0.4625,45.20327775,19.6462035,8.63242275,13.60776,11.0
2504,I,0.875,0.6625,0.2,5.10291,2.1262125,1.06310625,1.70097,7.0
2505,F,1.6375,1.2625,0.4375,42.2124055,19.09338825,8.71747125,8.71747125,10.0
2506,F,1.25,0.9625,0.2875,16.51358375,7.52679225,3.175144,4.7343665,8.0
2507,I,1.15,0.9375,0.275,11.04213025,4.932813,2.4097075,3.8271825,8.0
2508,M,1.5625,1.1875,0.4125,29.596878,12.3887315,5.8116475,7.767763,10.0
2509,I,0.9625,0.725,0.2375,7.41339425,3.798833,1.587572,2.26796,6.0
2510,F,1.575,1.2875,0.475,37.23706825,15.0535845,7.98038425,10.886208,10.0
2511,F,1.4625,1.15,0.4,32.36095425,13.891255,7.087375,8.788345,14.0
2512,M,1.625,1.2375,0.4,32.16250775,13.947954,7.597666,8.50485,11.0
2513,I,0.85,0.7,0.2375,5.8116475,2.11203775,1.5592225,1.984465,10.0
2514,F,1.375,1.075,0.35,23.09066775,11.8217415,5.3013565,6.066793,10.0
2515,M,1.4,1.1125,0.3875,27.03124825,13.1825175,5.71242425,7.37087,9.0
2516,M,1.6,1.2625,0.4375,38.952213,13.6928085,9.9506745,11.1980525,18.0
2517,M,1.0375,0.775,0.2625,9.185238,3.4869885,1.6159215,2.664853,8.0
2518,M,1.5625,1.1875,0.4125,36.740952,17.47746675,8.561549,9.07184,10.0
2519,I,1.25,0.9625,0.325,17.2081465,8.34892775,3.07592075,5.5281525,9.0
2520,M,1.5625,1.1875,0.45,37.03862175,17.8318355,7.38504475,9.7805775,8.0
2521,I,1.35,1.025,0.3375,19.66037825,9.31281075,4.60679375,5.6699,9.0
2522,F,1.325,1.0125,0.3125,18.824068,9.14271375,5.57067675,5.953395,8.0
2523,M,1.5625,1.225,0.4375,41.91473575,11.9351395,8.901743,14.17475,23.0
2524,M,1.2375,0.9625,0.3125,16.3576615,8.845044,3.58621175,4.26659975,9.0
2525,F,1.375,1.0875,0.375,24.79163775,11.793392,5.79747275,7.087375,9.0
2526,M,0.95,0.7125,0.2375,6.8889285,2.83495,1.54504775,2.1262125,9.0
2527,F,1.675,1.2875,0.4125,37.74735925,16.93882625,7.767763,10.0640725,11.0
2528,M,1.3875,1.0875,0.35,24.323871,11.793392,4.91863825,5.839997,9.0
2529,M,1.6375,1.2875,0.475,36.55668025,16.96717575,8.4765005,11.623295,14.0
2530,F,1.5625,1.2875,0.4125,33.0271675,13.1258185,4.86193925,11.056305,11.0
2531,M,1.5875,1.25,0.4375,39.9444455,19.9863975,8.77417025,9.525432,10.0
2532,M,1.6125,1.325,0.4375,39.7743485,16.51358375,8.7599955,10.77281,13.0
2533,I,1.2,0.8875,0.3125,11.2547515,5.40057975,2.93417325,3.3168915,7.0
2534,I,0.4,0.275,0.1125,0.55281525,0.21262125,0.09922325,0.1417475,4.0
2535,I,0.8125,0.6,0.1875,4.309124,1.60174675,1.077281,1.2757275,6.0
2536,I,1.3,0.9875,0.3125,15.49300175,6.633783,3.72795925,4.819415,9.0
2537,F,1.5625,1.25,0.4125,38.00250475,14.35902175,7.24329725,10.489315,18.0
2538,F,1.6125,1.3,0.475,44.9906565,20.9502805,11.566596,10.942907,12.0
2539,F,1.45,1.15,0.3625,24.777463,12.34620725,5.82582225,6.23689,9.0
2540,I,0.925,0.6875,0.2125,5.613201,2.721552,1.5025235,1.644271,7.0
2541,M,1.475,1.175,0.3875,38.51279575,18.83824275,5.046211,9.36950975,10.0
2542,I,1.4375,1.125,0.3625,25.16018125,10.262519,5.556502,7.5126175,8.0
2543,I,1.2375,0.9375,0.325,13.42348825,5.5848515,3.458639,4.819415,8.0
2544,I,1.1875,0.8875,0.35,12.47378,5.74077375,2.50893075,4.1106775,8.0
2545,I,1.175,0.9,0.3,13.90542975,5.96756975,3.2601925,3.8271825,9.0
2546,I,0.6375,0.4625,0.1625,2.14038725,0.97805775,0.453592,0.7087375,4.0
2547,M,1.2125,0.9625,0.3125,17.42076775,6.44951125,3.9405805,5.2446575,10.0
2548,M,1.3125,1.0625,0.35,24.4656185,12.133586,4.86193925,6.9456275,9.0
2549,F,1.6125,1.325,0.425,38.11590275,13.13999325,7.47009325,12.757275,19.0
2550,I,0.95,0.7,0.175,7.98038425,3.55786225,1.530873,1.8427175,6.0
2551,F,1.4125,1.1,0.3875,24.5223175,10.41844125,5.76912325,7.654365,9.0
2552,F,1.4625,1.1375,0.425,30.1922175,12.8990225,6.36446275,9.2135875,11.0
2553,M,1.375,1.0875,0.3375,24.53649225,9.6671795,4.4508715,7.37087,18.0
2554,M,1.55,1.2125,0.375,34.6147395,18.21455375,7.75358825,8.3631025,10.0
2555,M,1.625,1.25,0.4375,35.096681,14.911837,8.60407325,10.0640725,11.0
2556,M,1.5625,1.2625,0.4125,32.95629375,13.65028425,7.3425205,9.2135875,12.0
2557,M,1.375,1.0875,0.3875,24.777463,12.1052365,4.3941725,5.8116475,9.0
2558,I,0.4,0.3125,0.0625,0.5953395,0.21262125,0.12757275,0.170097,5.0
2559,I,1.3,1.0,0.3125,18.824068,7.72523875,3.8838815,5.2446575,13.0
2560,M,1.65,1.2625,0.475,38.82464025,16.40018575,7.257472,10.0640725,10.0
2561,I,1.2,0.8875,0.2625,13.5794105,6.7755305,3.175144,4.252425,9.0
2562,M,1.425,1.1125,0.375,28.8314415,14.38737125,7.087375,6.747181,8.0
2563,M,1.0375,0.7875,0.2625,11.04213025,4.89028875,2.4097075,3.8271825,10.0
2564,M,1.475,1.175,0.375,30.71668325,10.9712565,6.98815175,8.9300925,12.0
2565,M,1.375,1.075,0.3625,24.79163775,8.63242275,5.40057975,7.087375,8.0
2566,I,1.125,0.8875,0.275,13.56523575,6.520385,2.721552,3.9972795,8.0
2567,I,1.2875,0.975,0.3125,17.08057375,8.34892775,3.21766825,3.40194,8.0
2568,F,1.4875,1.2375,0.4,30.674159,14.04717725,5.499803,10.0640725,8.0
2569,M,1.725,1.3125,0.4875,49.8667705,21.36134825,8.2497045,13.05494475,10.0
2570,F,1.325,1.0375,0.4125,23.99785175,11.69416875,5.51397775,7.7961125,11.0
2571,F,1.5875,1.25,0.4,35.833768,16.0174675,8.29222875,9.07184,8.0
2572,M,1.5,1.125,0.375,24.76328825,11.8784405,6.98815175,6.23689,9.0
2573,M,1.275,1.0,0.3125,18.12950525,7.427569,4.23825025,6.39281225,12.0
2574,I,1.25,0.9625,0.3,17.236496,5.68407475,4.03980375,6.0951425,14.0
2575,F,1.3125,1.0,0.375,19.23513575,7.75358825,3.55786225,5.10291,18.0
2576,F,1.1,0.8625,0.3125,12.94154675,4.7343665,2.551455,3.33106625,8.0
2577,M,1.4375,1.125,0.45,21.21960075,9.87980075,4.422522,7.2291225,9.0
2578,M,1.5,1.1875,0.4125,30.107169,11.623295,7.07320025,9.63883,14.0
2579,M,1.375,1.0625,0.375,26.1665885,10.20582,4.97533725,7.93786,10.0
2580,F,1.5375,1.25,0.55,36.61337925,16.612807,8.51902475,10.489315,13.0
2581,F,1.4875,1.1625,0.375,27.1304715,11.60912025,5.273007,8.0796075,9.0
2582,I,1.025,0.7875,0.2375,9.19941275,3.515338,2.0128145,2.6932025,7.0
2583,I,0.9375,0.7,0.25,6.44951125,2.7499015,1.28990225,2.26796,7.0
2584,F,1.4375,1.125,0.4,24.720764,9.19941275,4.8477645,7.37087,14.0
2585,F,1.5625,1.3,0.4375,38.20095125,12.06271225,9.53960675,11.90679,15.0
2586,I,1.05,0.7875,0.2625,11.77921725,5.4147545,2.11203775,3.685435,7.0
2587,F,1.5625,1.2375,0.3875,32.44600275,15.52135125,6.95980225,8.788345,9.0
2588,M,1.4,1.125,0.375,25.7696955,10.47514025,5.54232725,7.2291225,8.0
2589,F,1.4625,1.1375,0.375,31.25532375,15.46465225,7.41339425,7.087375,8.0
2590,I,0.9625,0.725,0.25,7.44174375,3.33106625,1.7293195,2.551455,7.0
2591,I,0.925,0.6875,0.2125,6.8322295,2.9766975,1.43164975,1.927766,7.0
2592,M,1.3125,1.025,0.3375,21.6873675,9.42620875,5.1312595,6.0951425,10.0
2593,I,1.125,0.8375,0.225,9.65300475,3.47281375,1.927766,3.40194,7.0
2594,F,1.425,1.1,0.375,24.73493875,10.47514025,6.78970525,6.80388,12.0
2595,M,1.25,0.95,0.3125,16.51358375,8.20718025,3.64291075,4.9611625,9.0
2596,M,1.5625,1.25,0.425,32.16250775,12.85649825,7.087375,9.4970825,11.0
2597,F,1.775,1.425,0.4875,48.91706225,24.05455075,9.53960675,15.30873,12.0
2598,M,1.5125,1.225,0.375,29.766975,12.23280925,6.22271525,8.9300925,11.0
2599,M,1.4,1.1,0.4125,25.8830935,10.489315,4.3941725,7.654365,10.0
2600,F,1.625,1.3125,0.425,38.42774725,17.16562225,7.98038425,10.77281,9.0
2601,M,1.1875,0.9,0.3125,16.2442635,7.64019025,3.50116325,4.6776675,8.0
2602,F,1.6375,1.3125,0.475,38.42774725,16.57028275,7.52679225,11.0846545,10.0
2603,M,1.3625,1.0375,0.3625,19.63202875,7.10154975,4.37999775,5.5281525,10.0
2604,F,1.525,1.175,0.4125,35.210079,17.519991,7.3425205,8.7599955,9.0
2605,M,1.275,1.0125,0.425,23.700182,9.7805775,4.252425,7.37087,10.0
2606,I,0.6875,0.5,0.2,3.86970675,1.60174675,0.680388,1.190679,6.0
2607,F,1.7,1.4,0.5125,57.606184,26.7335785,14.69921575,16.08834125,12.0
2608,M,1.3125,1.05,0.375,27.11629675,13.4660125,5.93922025,7.654365,8.0
2609,M,1.625,1.2875,0.45,41.4186195,18.653971,8.17883075,11.1980525,10.0
2610,F,1.6,1.2,0.375,36.4291075,16.37183625,7.49844275,9.7805775,13.0
2611,M,1.3125,1.0125,0.4375,23.0481435,9.7238785,5.71242425,7.087375,9.0
2612,F,1.55,1.175,0.45,32.16250775,12.85649825,7.15824875,8.3631025,10.0
2613,I,1.25,0.8875,0.3125,14.69921575,6.19436575,3.81300775,4.3941725,9.0
2614,M,1.5625,1.2,0.4125,37.52056325,17.973583,8.34892775,9.07184,10.0
2615,F,1.725,1.4375,0.5375,53.6089045,21.89998875,12.99824575,16.159215,16.0
2616,M,1.375,1.0375,0.35,20.071446,7.92368525,4.706017,6.19436575,19.0
2617,I,1.75,1.3375,0.5125,45.2741515,16.59863225,10.13494625,13.834556,20.0
2618,I,0.6875,0.5,0.175,2.76407625,1.020582,0.5386405,0.9922325,5.0
2619,F,1.5,1.225,0.4,35.777069,16.045817,8.94426725,8.334753,9.0
2620,F,1.3625,1.0375,0.3375,24.9192105,9.695529,5.896696,7.654365,11.0
2621,F,1.525,1.2125,0.375,30.957654,17.0097,6.22271525,8.0796075,9.0
2622,I,0.7875,0.575,0.1875,4.20990075,1.8994165,1.077281,1.2757275,6.0
2623,M,1.525,1.2125,0.4125,35.22425375,16.51358375,6.30776375,8.50485,10.0
2624,I,0.7375,0.55,0.175,3.6003865,1.57339725,1.13398,0.9922325,5.0
2625,F,1.5875,1.3125,0.4375,38.215126,15.592225,8.60407325,11.3398,13.0
2626,I,0.925,0.6875,0.225,5.5281525,2.721552,1.1623295,1.984465,5.0
2627,M,1.375,1.0125,0.325,18.030282,9.695529,3.50116325,4.9611625,9.0
2628,I,0.6125,0.4375,0.1625,1.80019325,0.963883,0.38271825,0.56699,5.0
2629,I,1.375,1.05,0.325,20.3265915,8.8733935,4.09650275,5.499803,9.0
2630,I,0.9125,0.6875,0.225,7.144074,3.005047,1.51669825,2.26796,6.0
2631,F,1.5875,1.25,0.425,36.6559035,16.896302,8.221355,10.19164525,9.0
2632,M,1.5125,1.225,0.375,32.78619675,11.8784405,8.731646,8.9300925,10.0
2633,I,1.1375,0.85,0.3125,12.48795475,4.479221,2.4097075,3.5436875,9.0
2634,M,1.6625,1.3125,0.425,34.99745775,13.437663,6.406987,11.3398,14.0
2635,M,1.6125,1.275,0.4625,42.2124055,20.45416425,9.39785925,11.623295,10.0
2636,M,1.5375,1.1875,0.425,36.967748,14.04717725,7.98038425,10.77281,11.0
2637,I,1.375,1.075,0.3625,24.16794875,11.3398,5.3580555,7.087375,8.0
2638,M,1.575,1.2375,0.3875,30.03629525,14.458245,6.973977,8.221355,10.0
2639,M,1.45,1.175,0.375,26.2799865,11.29727575,7.0023265,7.37087,9.0
2640,M,1.2625,0.9625,0.3,17.36406875,8.46232575,3.72795925,4.6776675,8.0
2641,I,0.6625,0.4375,0.2125,1.82854275,0.737087,0.5953395,0.60951425,6.0
2642,M,1.3375,1.025,0.375,22.89222125,7.484268,4.60679375,7.767763,13.0
2643,I,0.925,0.6875,0.25,7.55514175,3.35941575,1.587572,2.1262125,7.0
2644,I,1.175,0.8625,0.2625,13.33843975,5.8683465,2.90582375,3.8271825,10.0
2645,I,1.1,0.8375,0.2375,9.979024,3.912231,2.22543575,2.76407625,7.0
2646,M,1.1625,0.9,0.3125,17.50581625,6.10931725,3.6003865,5.386405,15.0
2647,F,1.5125,1.1625,0.425,30.0221205,12.43125575,6.53455975,7.2291225,9.0
2648,I,1.0,0.75,0.25,8.5331995,3.6570855,1.9561155,2.6365035,7.0
2649,I,0.775,0.6,0.1875,4.422522,1.91359125,0.907184,1.2757275,6.0
2650,M,1.5625,1.25,0.4375,38.215126,15.8473705,7.78193775,13.324265,12.0
2651,M,1.475,1.1625,0.375,31.6096925,14.84096325,6.13766675,8.3631025,9.0
2652,M,1.5,1.2125,0.4,30.71668325,14.911837,6.5487345,9.48290775,10.0
2653,M,1.625,1.2375,0.425,36.38658325,17.73261225,6.95980225,10.61688775,10.0
2654,M,1.5,1.175,0.4125,32.89959475,14.47241975,7.52679225,9.2135875,10.0
2655,F,1.5875,1.25,0.375,36.95357325,16.6411565,8.32057825,9.4970825,11.0
2656,F,1.1375,0.875,0.3125,12.71475075,4.43669675,2.96252275,4.6776675,13.0
2657,I,1.1,0.85,0.325,13.19669225,5.82582225,2.99087225,4.3941725,10.0
2658,M,1.3625,1.1,0.4,31.42542075,14.10387625,7.89533575,7.37087,9.0
2659,I,1.45,1.075,0.325,22.4244545,10.21999475,4.5075705,6.23689,8.0
2660,M,1.4875,1.1375,0.4125,27.51318975,11.12717875,6.76135575,7.2291225,8.0
2661,F,1.15,0.9,0.2875,13.36678925,5.85417175,2.87747425,4.3941725,9.0
2662,F,1.575,1.275,0.45,37.98833,15.97494325,7.597666,11.3398,13.0
2663,F,1.5,1.2,0.4,32.4601775,13.79203175,8.88756825,8.334753,10.0
2664,I,0.5875,0.45,0.15,1.644271,0.80796075,0.396893,0.510291,4.0
2665,M,1.5625,1.225,0.3625,32.95629375,14.571643,6.73300625,8.6465975,12.0
2666,F,1.175,0.9125,0.3125,12.0485375,4.72019175,2.6932025,4.6776675,8.0
2667,F,1.5375,1.1875,0.4125,32.034935,12.94154675,6.13766675,10.77281,11.0
2668,F,1.275,1.0,0.375,21.64484325,7.55514175,4.97533725,6.463686,12.0
2669,M,0.775,0.5625,0.2125,2.76407625,1.587572,1.03475675,0.9922325,6.0
2670,I,0.925,0.7125,0.225,6.39281225,2.82077525,1.20485375,1.984465,6.0
2671,I,0.9,0.675,0.1875,6.0951425,2.45223175,1.190679,1.984465,6.0
2672,M,1.5875,1.2375,0.4,35.3518265,17.42076775,7.44174375,9.7805775,9.0
2673,F,1.4625,1.125,0.375,28.81726675,12.23280925,5.3013565,7.37087,11.0
2674,I,1.375,1.075,0.3875,22.8780465,8.77417025,4.32329875,7.087375,11.0
2675,M,1.7,1.3125,0.4875,51.24172125,26.97454925,10.16329575,13.324265,9.0
2676,F,1.625,1.2875,0.4625,35.50774875,15.35125425,9.14271375,10.0640725,10.0
2677,F,1.375,1.075,0.3875,27.9242575,8.00873375,5.7549485,8.221355,16.0
2678,F,1.225,0.8875,0.325,18.75319425,6.78970525,4.3941725,4.9611625,8.0
2679,I,1.4375,1.125,0.375,24.6357155,7.994559,5.0745605,8.221355,13.0
2680,F,1.6125,1.2875,0.5,38.42774725,16.68368075,8.164656,11.056305,11.0
2681,I,1.0,0.75,0.25,8.63242275,3.21766825,1.814368,2.9766975,7.0
2682,M,1.4875,1.125,0.3625,26.365035,11.566596,5.6699,7.5126175,23.0
2683,F,1.75,1.325,0.4375,51.199197,25.78387025,11.850091,11.90679,11.0
2684,M,1.475,1.1625,0.325,26.875326,10.9712565,6.90310325,7.654365,8.0
2685,F,1.625,1.2,0.4,31.53881875,13.73533275,6.90310325,7.37087,8.0
2686,I,1.35,1.025,0.35,17.95940825,9.62465525,3.47281375,5.386405,9.0
